STUDYID,Study_ID,Short_Description,Study_Description,Alternate_ID,Subject_Count,Country,Data_Status,Study_Type,Intervention_Type,Age_Lower_Limit,Age_Upper_Limit,Start_Year,Stop_Year,Population,Repository_Name,Repository_Subfolder,Study_URL
NHANES-2003-04,NHANES-2003-04,"NHANES, 2003-04","National Health and Nutrition Examination Study, 2003-2004",,10122,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2003,2004,Population aged 0-85 y,NHANES-2003-04,Final,http://www.cdc.gov/nchs/nhanes/
NHANES-2005-06,NHANES-2005-06,"NHANES, 2005-06","National Health and Nutrition Examination Study, 2005-2006",,10348,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2005,2006,Population aged 0-85 y,NHANES-2005-06,Final,http://www.cdc.go/nchs/nhanes
NHANES-2007-08,NHANES-2007-08,"NHANES, 2007-08","National Health and Nutrition Examination Study, 2007-2008",,10149,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2007,2008,Population aged 0-85 y,NHANES-2007-08,Final,http://www.cdc.gov/nchs/nhanes/
NHANES-2009-10,NHANES-2009-10,"NHANES, 2009-10","National Health and Nutrition Examination Study, 2009-2010",,10537,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2009,2010,Population aged 0-85 y,NHANES-2009-10,Final,http://www.cdc.go/nchs/nhanes
NHANES-2011-12,NHANES-2011-12,"NHANES, 2011-12","National Health and Nutrition Examination Study, 2011-2012",,9756,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2011,2012,Population aged 0-85 y,NHANES-2011-12,Final,http://www.cdc.gov/nchs/nhanes/
NHLBI-DISC,NHLBI-DISC,Dietary Intervention Study in Children,Multicenter prospective study: efficacy and safety of a lipid-lowering diet in children aged 8 to 10 years with moderately elevated low-density lipoprotein cholesterol (LDL-C) levels,NCT00000459,663,USA,QC completed,Longitudinal,Nutritional,Year 09,Year 10,1987,1997,Children,NHLBI-DISC,1987-1997,https://biolincc.nhlbi.nih.gov/studies/disc/
NHLBI-GHS,NHLBI-GHS,NHLBI Growth and Health Study,Observational study: risk factors associated with obesity and cardiovascular disease in African-American and white girls,NCT00005132,2379,USA,Raw Data Received,Longitudinal,No Intervention,Year 09,Year 11,1987,1998,Adolescent girls,NHLBI-GHS,1987-1998,https://biolincc.nhlbi.nih.gov/studies/nghs/
NHLBI-TAAG,NHLBI-TAAG,Trials of Activity in Adolescent Girls,"Multicenter, group-randomized trial of schools: interventions to reduce the decline in moderate-to-vigorous physical activity in middle school girls",NCT00006409,11985,USA,QC completed,Longitudinal,Behavioral,Year 10,Year 16,2003,2008,Adolescent girls,NHLBI-TAAG,Combined,https://biolincc.nhlbi.nih.gov/studies/taag
NICHD-FGS,NICHD-FGS,NICHD Fetal Growth Study,Observational epidemiologic study of ultrasonography in low-risk pregnant women to measure fetal growth,PMID26410205,2334,USA,QC completed,Longitudinal,No Intervention,Antenatal,Months 0-6,2009,2013,Women with low-risk pregnancies excluding obese and twin cohorts; 5 ultrasonography measurements per pregnancy,NICHD-FGS,Final,https://www.nichd.nih.gov/about/org/diphr/eb/research/Pages/fetal-growth-study.aspx
NPIC,NPIC,National Perinatal Information Center,National Perinatal Information Center,,1583358,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2010,2014,Neonates,NPIC,Main,http://www.npic.org/Services/Perinatal_Center_Data_Base.php
Princeton-FFCWS-FFCWS,FFCWS,Fragile Families and Child Wellbeing Study,Fragile Families and Child Wellbeing Study,ICPSR31622,4898,USA,Raw Data Received,Survey,No Intervention,Months 0-6,Months 0-6,1998,2006,"Mothers, fathers, and infants",Princeton-FFCWS,1999-2006,http://www.fragilefamilies.princeton.edu/
US-NDACAN-AFCARS-A,AFCARS-A,AFCARS Adoption,AFCARS adoption files,,705795,USA,Will not be mapped,Registry,No Intervention,Months 0-6,Year 18,2000,2013,Adopted children,US-NDACAN,AFCARS_Adoption2000_13,http://www.ndacan.cornell.edu/datasets/dataset-details.cfm?ID=190
US-NDACAN-AFCARS-F,AFCARS-F,AFCARS Foster Care,AFCARS foster care files,,4319780,USA,Will not be mapped,Registry,No Intervention,Months 0-6,Year 18,2000,2013,Children in state foster care systems,US-NDACAN,AFCARS_FosterCare2000_13,http://www.ndacan.cornell.edu/datasets/dataset-details.cfm?ID=187
US-NDACAN-NYT,NYT,National Youth in Transition,National Youth in Transition Survey,,588020,USA,Will not be mapped,Registry,No Intervention,Year 19,Year 20+,2010,2014,Young adults recently transitioned out of foster care,US-NDACAN,NYT,http://www.ndacan.cornell.edu/datasets/dataset-details.cfm?ID=182
USCAHMI-NSCH-03,USCAHMI-NSCH-03,USCAHMI NSCH,National Survey of Children's Health,,102353,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2003,2003,Children,USCAHMI-NSCH,2003,http://childhealthdata.org/learn/NSCH
USCAHMI-NSCH-07,USCAHMI-NSCH-07,USCAHMI NSCH,National Survey of Children's Health,,91642,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2007,2007,Children,USCAHMI-NSCH,2007,http://childhealthdata.org/learn/NSCH
USCAHMI-NSCH-11,USCAHMI-NSCH-11,USCAHMI NSCH,National Survey of Children's Health,,95677,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2011,2012,Infants,USCAHMI-NSCH,2011-2012,http://childhealthdata.org/learn/NSCH
USCDC-IFPS,USCDC-IFPS,USCDC IFPS,Infant Feeding Practice Study: a longitudinal survey of breast feeding,,6419,USA,Programming Ongoing,Longitudinal,No Intervention,Months 0-6,Months 0-6,2008,2008,Infants; outcomes at age 6 y,USCDC-IFPS,2008,http://www.cdc.gov/breastfeeding/data/ifps/index.htm
USCDC-NHIS,USCDC-NHIS,USCDC NHIS,National Health Interview Survey,,13275,USA,Programming Ongoing,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2012,2012,Children,USCDC-NHIS,2012,https://www.cdc.gov/nchs/nhis/
USCDC-NIS-00,USCDC-NIS-00,USCDC NIS 2000,National Immunization Survey,,34087,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2000,2000,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2000,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-01,USCDC-NIS-01,USCDC NIS 2001,National Immunization Survey,,33437,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2001,2001,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2001,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-02,USCDC-NIS-02,USCDC NIS 2002,National Immunization Survey,,31693,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2002,2002,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2002,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-03,USCDC-NIS-03,USCDC NIS 2003,National Immunization Survey,,30930,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2003,2003,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2003,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-04,USCDC-NIS-04,USCDC NIS 2004,National Immunization Survey,,30987,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2004,2004,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2004,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-05,USCDC-NIS-05,USCDC NIS 2005,National Immunization Survey,,27627,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2005,2005,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2005,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-06,USCDC-NIS-06,USCDC NIS 2006,National Immunization Survey,,29880,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2006,2006,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2006,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-07,USCDC-NIS-07,USCDC NIS 2007,National Immunization Survey,,24807,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2007,2007,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2007,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-08,USCDC-NIS-08,USCDC NIS 2008,National Immunization Survey,,14174,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2008,2008,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2008,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-09,USCDC-NIS-09,USCDC NIS 2009,National Immunization Survey,,25241,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2009,2009,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2009,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-10,USCDC-NIS-10,USCDC NIS 2010,National Immunization Survey,,8587,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2010,2010,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2010,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-11,USCDC-NIS-11,USCDC NIS 2011,National Immunization Survey,,5763,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2011,2011,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2011,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-12,USCDC-NIS-12,USCDC NIS 2012,National Immunization Survey,,12904,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2012,2012,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2012,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-13,USCDC-NIS-13,USCDC NIS 2013,National Immunization Survey,,12591,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2013,2013,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2013,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-14,USCDC-NIS-14,USCDC NIS 2014,National Immunization Survey,,11750,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,2014,2014,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,2014,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-95,USCDC-NIS-95,USCDC NIS 1995,National Immunization Survey,,31997,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,1995,2012,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,1995,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-96,USCDC-NIS-96,USCDC NIS 1996,National Immunization Survey,,33305,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,1996,1996,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,1996,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-97,USCDC-NIS-97,USCDC NIS 1997,National Immunization Survey,,32742,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,1997,1997,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,1997,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-98,USCDC-NIS-98,USCDC NIS 1998,National Immunization Survey,,32511,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,1998,1998,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,1998,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NIS-99,USCDC-NIS-99,USCDC NIS 1999,National Immunization Survey,,34442,USA,Will not be mapped,Survey,No Intervention,Year 01,Year 17,1999,1999,Children aged 19-35 mo and adolescents aged 13-17 y,USCDC-NIS,1999,http://www.cdc.gov/vaccines/imz-managers/nis/
USCDC-NSFG-02,USCDC-NSFG-02,USCDC NSFG,National Survey of Family Growth,,12571,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2002,2002,Adolescents and adults aged 15-44 y,USCDC-NSFG,2002,http://www.cdc.gov/nchs/nsfg/
USCDC-NSFG-06,USCDC-NSFG-06,USCDC NSFG,National Survey of Family Growth,,22682,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2006,2010,Adolescents and adults aged 15-44 y,USCDC-NSFG,2006-2010,http://www.cdc.gov/nchs/nsfg/
USCDC-NSFG-11,USCDC-NSFG-11,USCDC NSFG,National Survey of Family Growth,,10416,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2011,2013,Adolescents and adults aged 15-44 y,USCDC-NSFG,2011-2013,http://www.cdc.gov/nchs/nsfg/
USCDC-NSFG-73,USCDC-NSFG-73,USCDC NSFG,National Survey of Family Growth,,9797,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Months 0-6,1973,1973,Adolescents and adults aged 15-44 y,USCDC-NSFG,1973,http://www.cdc.gov/nchs/nsfg/
USCDC-NSFG-76,USCDC-NSFG-76,USCDC NSFG,National Survey of Family Growth,,8611,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Months 0-6,1976,1976,Adolescents and adults aged 15-44 y,USCDC-NSFG,1976,http://www.cdc.gov/nchs/nsfg/
USCDC-NSFG-82,USCDC-NSFG-82,USCDC NSFG,National Survey of Family Growth,,7969,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Months 0-6,1982,1982,Adolescents and adults aged 15-44 y,USCDC-NSFG,1982,http://www.cdc.gov/nchs/nsfg/
USCDC-NSFG-88,USCDC-NSFG-88,USCDC NSFG,National Survey of Family Growth,,8450,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Months 0-6,1988,1988,Adolescents and adults aged 15-44 y,USCDC-NSFG,1988,http://www.cdc.gov/nchs/nsfg/
USCDC-NSFG-95,USCDC-NSFG-95,USCDC NSFG,National Survey of Family Growth,,10847,USA,Will not be mapped,Cross Sectional,No Intervention,Months 0-6,Months 0-6,1995,1995,Adolescents and adults aged 15-44 y,USCDC-NSFG,1995,http://www.cdc.gov/nchs/nsfg/
USCDC-PRAMS,USCDC-PRAMS,USCDC PRAMS,Pregnancy Risk Assessment Monitoring System: national data,,539694,USA,Programming Ongoing,Cross Sectional,No Intervention,Months 0-6,Months 0-6,1999,2012,Pregnancies,USCDC-PRAMS,1999-2012,https://www.cdc.gov/prams/
USDA-WIC-02,USDA-WIC-02,USDA WIC,"Women, Infants and Children Nutritional Program",,59999,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Year 05,2002,2002,Women & children in WIC program,USDA-WIC,2002,http://www.fns.usda.gov/pd/wic-program
USDA-WIC-04,USDA-WIC-04,USDA WIC,"Women, Infants and Children Nutritional Program",,59994,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Year 05,2004,2004,Women & children in WIC program,USDA-WIC,2004,http://www.fns.usda.gov/pd/wic-program
USDA-WIC-06,USDA-WIC-06,USDA WIC,"Women, Infants and Children Nutritional Program",,60001,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Year 05,2006,2006,Women & children in WIC program,USDA-WIC,2006,http://www.fns.usda.gov/pd/wic-program
USDA-WIC-08,USDA-WIC-08,USDA WIC,"Women, Infants and Children Nutritional Program",,60008,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Year 05,2008,2008,Women & children in WIC program,USDA-WIC,2008,http://www.fns.usda.gov/pd/wic-program
USDA-WIC-10,USDA-WIC-10,USDA WIC,"Women, Infants and Children Nutritional Program",,59995,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Year 05,2010,2010,Women & children in WIC program,USDA-WIC,2010,http://www.fns.usda.gov/pd/wic-program
USDA-WIC-12,USDA-WIC-12,USDA WIC,"Women, Infants and Children Nutritional Program",,59983,USA,Raw Data Received,Cross Sectional,No Intervention,Months 0-6,Year 05,2012,2012,Women & children in WIC program,USDA-WIC,2012,http://www.fns.usda.gov/pd/wic-program
USHHS-NPHS-DrugUseLiveBirths-NPHS-DULB,NPHS-DULB,NPHS: Drug Use Live Births,National Pregnancy and Health Survey: drug use in women delivering live births,ICPSR2835,3386,USA,Raw Data Received,Survey,No Intervention,Months 0-6,Months 0-6,1992,2000,Mothers and infants,USHHS-NPHS-DrugUseLiveBirths,1992,http://www.icpsr.umich.edu/icpsrweb/NAHDAP/studies/2835
ki0038874-GEMS-1,GEMS-1,GEMS-1 Study,Global Enteric Multicenter Study: case-control study at 7 sites in Africa and Asia,,22567,"GMB, MLI, MOZ, KEN, IND, BGD, PAK",QC completed,Cross Sectional,No Intervention,Months 0-6,Year 02,2007,2011,"Children with diarrheal disease and age- and sex-matched controls, aged < 5 y",ki0038874,GEMS-1-FINAL,http://medschool.umaryland.edu/GEMS/
ki0038874-GEMS-1A,GEMS-1A,GEMS-1A Study,Global Enteric Multicenter Study: case-control study at 7 sites in Africa and Asia,,14242,"GMB, MLI, MOZ, KEN, IND, BGD, PAK",QC completed,Cross Sectional,No Intervention,Months 0-6,Year 02,2011,2013,"Children with diarrheal disease and age- and sex-matched controls, aged < 5 y",ki0038874,GEMS-1A-FINAL,http://medschool.umaryland.edu/GEMS/
ki0047075-MAL-ED,MAL-ED,MAL-ED Study (PMID25305287),Global study of enteropathy and its effects on anthropometry from birth through age 2 years,NCT02441426,2145,"BGD, BRA, IND, NPL, PER, PAK, ZAF, TZA",QC completed,Longitudinal,No Intervention,Months 0-6,Months 0-6,2009,2014,Multinational birth cohort,ki0047075,MALED-201511,http://mal-ed.fnih.org/
ki0047075b-MAL-ED-Ext,MAL-ED-Ext,MAL-ED Study (PMID25305287),Global study of enteropathy and its effects on anthropometry from birth through age 2 years,NCT02441426,2145,"BGD, BRA, IND, NPL, PER, PAK, ZAF, TZA",Programming Ongoing,Longitudinal,No Intervention,Months 0-6,Months 0-6,2009,2017,Multinational birth cohort,ki0047075b,MALED-201707,http://mal-ed.fnih.org/
ki1000108-CMC-V-BCS-2002,CMC-V-BCS-2002,CMC Vellore Birth Cohort 2002,Rotavirus seasonality and age effects in a birth cohort study in Vellore,,373,IND,QC completed,Longitudinal,No Intervention,Months 0-6,Months 0-6,2002,2006,Birth cohort in urban Vellore,ki1000108,PMC3894229,
ki1000108-DSS,DSS,"Demographic Surveillance Study in Vellore, India",Demographic Surveillance Study in Vellore,,154371,IND,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2009,2013,Demographic surveillance in Vellore,ki1000108,DSS,
ki1000108-IRC,IRC,Vellore Crypto Study,Birth cohort study of Cryptosporidium infection in children,,410,IND,QC completed,Longitudinal,No Intervention,Months 0-6,Months 0-6,2009,2013,Birth cohort in 4 contiguous slums in Vellore,ki1000108,IRC,
ki1000108-TDC,TDC,Transmission Dynamics of Cryptosporidial Infections,Bottled water to prevent or delay Cryptosporidium infection,,160,IND,QC completed,Longitudinal,WASH,Months 0-6,Months 0-6,2008,2011,Birth cohort in 4 contiguous slums in Vellore,ki1000108,TDC,
ki1000109-EE,EE,Study of Biomarkers for Environmental Enteropathy,"Monthly anthropometry since birth, daily symptoms, and biomarkers for environmental enteropathy in blood, urine, and stool",,380,PAK,QC completed,Longitudinal,No Intervention,Months 0-6,Months 0-6,2012,2013,Community based cohort of children aged 6 and 9 mo in rural Matiari District,ki1000109,EE,
ki1000109-Grip,Grip,"LRTI, RSV and Influenza Cohort Study",Cohort study of children with lower respiratory tract infection associated with respiratory syncytial virus or influenza virus,,203,PAK,QC completed,Longitudinal,No Intervention,Months 0-6,Year 05,2011,2013,"Children aged < 5 y in Ali Akber Shah goth, Karachi, with lower respiratory tract infection",ki1000109,Grip,
ki1000109-ResPak,ResPak,Respiratory Pathogens Birth Cohort,Characterization of endemic respiratory pathogens in urban pregnant women and newborns,,278,PAK,QC completed,Longitudinal,No Intervention,Months 0-6,Months 0-6,2011,2013,Birth cohort in Karachi,ki1000109,Respak,
ki1000110-WASH-Bangladesh,WASH-Bangladesh,WASH Benefits Bangladesh Trial,"Cluster-randomised controlled trials of individual and combined water, sanitation, hygiene, and nutritional interventions",NCT01590095,10858,BGD,QC completed,Longitudinal,"WASH, Nutrition",Antenatal,Antenatal,2012,2015,Rural children,ki1000110,WASH-Bangladesh,https://osf.io/63mna/
ki1000111-WASH-Kenya,WASH-Kenya,WASH Benefits Kenya Trial,"Cluster-randomised controlled trials of individual and combined water, sanitation, hygiene, and nutritional interventions",NCT01704105,12672,KEN,QC completed,Longitudinal,"WASH, Nutrition",Antenatal,Months 0-6,2013,2015,Rural pregnant women and infants up to age 3 mo,ki1000111,WASH-BK,http://www.washbenefits.net/overview.html
ki1000112-MaliMMAM,MaliMMAM,Deuterium dilution study in Mali,"Body composition in poorly nourished children aged 6-30 months, followed for 12 weeks after diet supplementation intervention",,520,MLI,QC completed,Cross Sectional,Nutritional,Months 0-6,Year 01,2010,2011,Malnourished infants and toddlers,ki1000112,MaliMMAM,
ki1000117-Detroit-Longitudinal,Detroit-Longitudinal,Detroit Longitudinal Cohort,Effects of moderate to heavy prenatal alcohol exposure on Bayley scale in African-American infants,,482,USA,QC completed,Longitudinal,No Intervention,Months 0-6,Year 18,1987,1990,African-American infants in Detroit with moderate to heavy prenatal alcohol exposure,ki1000117,Detroit-Longitudinal,
ki1000119-GordonTwin,GordonTwin,Birth cohort study of twins,"Birth cohort study of twins measuring anthropometry, micobiology, and associated symptoms",,69,"BGD, MWI",QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,2000,2014,Multiple birth children recruited from populations where childhood malnutrition is prevalent,ki1000119,GordonTwin,
ki1000123-MAHANTrust,MAHANTrust,Study of Early Childood Deaths in Rural India,"Community based, prospective, cross-sectional study of causes and time trends of child deaths (age, 0-5 y) over 10 years by verbal autopsy in tribal areas of Melghat",NCT02473796,535,IND,QC completed,Cross Sectional,No Intervention,Antenatal,Year 05,2004,2014,"All deceased children, aged 0-5 y, from 34 villages in tribal regions of Melghat (total resident population, 30,983)",ki1000123,MAHAN Trust,http://www.mahantrust.org/
ki1000125-AgaKhanUniv,AgaKhanUniv,Aga Khan University Evidence Based Nutrition Intervention Study,Scaling up evidence-based nutrition interventions to address maternal and child health outcomes in rural Sindh,,1769,PAK,QC completed,Longitudinal,Nutritional,Months 0-6,Year 02,2007,2009,Children in rural Sindh province,ki1000125,AgaKhanUniv,
ki1000128-PEDIATRIX,PEDIATRIX,PEDIATRIX Clinical Datawarehouse,Registry of births in the PEDIATRIX Clinical Data Warehouse,,1072682,USA,QC completed,Cross Sectional,No Intervention,Months 0-6,Months 0-6,1995,2013,Newborns admitted to the neonatal intensive care unit and followed through hospital discharge,ki1000128,PEDIATRIX-201509,https://www.pediatrix.com/workfiles/newsroom/CDW%20Fact%20Sheet%204.3.12.pdf
ki1000130-DutchGrowth1980,DutchGrowth1980,"Dutch Growth Study, 1980","Dutch Growth Study, 1980",,47564,NLD,QC completed,Cross Sectional,No Intervention,Months 0-6,Year 19,1980,1980,Children aged 0-19 y,ki1000130,DutchGrowth1980,
ki1000130-DutchGrowth1997,DutchGrowth1997,"Dutch Growth Study, 1997","Dutch Growth Study, 1997",,20572,NLD,QC completed,Cross Sectional,No Intervention,Months 0-6,Year 19,1997,1997,Children aged 0-19 y,ki1000130,DutchGrowth1997,
ki1000130-DutchGrowth2010,DutchGrowth2010,"Dutch Growth Study, 2010","Dutch Growth Study, 2010",,20867,NLD,QC completed,Cross Sectional,No Intervention,Months 0-6,Year 19,2010,2010,Children aged 0-19 y,ki1000130,DutchGrowth2010,
ki1000130-POPS,POPS,Project On Preterm and SGA Infants 1983,Project On Preterm and Small for Gestational Age Infants,,1338,NLD,QC completed,Longitudinal,No Intervention,Months 0-6,Months 0-6,1983,1983,Children,ki1000130,POPS,https://www.obgyn.cam.ac.uk/research/pops-2/
ki1000130-SMOCC,SMOCC,Social Medical Survey of Children attending Child health Clinics,Social Medical Survey of Children attending Child health Clinics,,2151,NLD,QC completed,Longitudinal,No Intervention,Months 0-6,Months 0-6,1988,1989,Children aged 0-2 y,ki1000130,SMOC,
